Lag,ACF,PACF
0,1.0,1.0
1,0.11472952144849602,0.11472952144849605
2,-0.13524936906819385,-0.150391819084734
3,-0.03824019295405707,-0.003250405577977377
4,0.14200666597991488,0.13180371824770973
5,-0.08701306379770427,-0.13572264202893988
6,-0.009408946170433759,0.061130023052248676
7,-0.00046350104001958905,-0.02893419733586988
8,-0.012110053464892969,-0.03444596989854224
9,-0.08175922714643617,-0.04510222374324352
10,-0.026159497241593554,-0.036909240130696214
11,0.013141038996728003,0.012211275511330156
12,-0.08418457712267317,-0.10500799945004075
13,-0.023832491782038452,0.02093443604628333
14,0.025611154520518625,-0.002714400731583418
15,0.03533674639159987,0.014835635473269854
16,0.028742759989417287,0.060152389259753775
17,0.006247594482673844,-0.026818325985340452
18,-0.02595819565368301,-0.014899881033120156
19,0.042567230082924394,0.04521539391603371
20,0.0013077151152473046,-0.03301660043462541
21,-0.010311108102456524,0.003704478780852366
22,-0.03419021348550866,-0.03665077897329564
23,0.045200200553487835,0.04504551080026715
24,-0.03063040582410822,-0.046844919836998074
25,0.06280840882229363,0.09283704689201373
26,-0.031085493310951513,-0.05011158369051459
27,-0.009355385279480441,-0.0030872585490439937
28,-0.03246007739654751,0.003802533845023352
29,0.0752918155735826,0.043307290791638496
30,0.011582747242333876,0.010438256350977865
31,-0.028804850495210328,-0.02898222144897093
32,-0.044491512735435834,-0.020243242955654224
33,-0.022719038673047056,-0.048862213508490945
34,0.03312049088770514,0.04979299419667592
35,0.059236495142330654,0.05528223988656127
36,0.0032166373379008736,-0.020329899231669543
37,-0.0529212987977843,-0.00889759807334475
38,-0.06294671026583527,-0.07672002908367652
39,-0.004513352905168176,-0.0003888035065361729
40,0.0483591956398358,0.03743106009421405
41,-0.027360007260442718,-0.04129925131245293
42,0.004373310683332428,0.03965701978030527
43,-0.05091724582482219,-0.08270002577166397
44,-0.04166262242830928,-0.034860792030742035
45,0.018509966064992743,0.033925721208440285
46,0.032397154505308196,-0.014745753706867185
47,-0.05058337157110987,-0.00557167741347172
48,-0.027501233602215125,-0.04456539314401669
49,-0.004479843814799345,-0.005541226788162092
50,0.07172793106645448,0.04649288163011666
51,0.006773273135914742,-0.002797039292703916
52,-0.035428685782456205,-0.019309421342159405
53,0.02985725156201405,0.03713819572735657
54,0.09272961803105016,0.06000501158170924
55,0.04177162228712516,0.038199146756027376
56,-0.00999335466954846,0.0003011948516009687
57,-0.03942308246155673,-0.034792079311557894
58,0.0260075435617186,0.030851507431013232
59,0.0136741502684885,-0.00903421726953141
60,-0.01683869336108733,-0.0029347217620872925
