"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2024","34.444","34.000","35.150","33.750","101.02K","4.11%"
"09/19/2024","33.083","35.510","36.770","32.040","174.74K","-6.13%"
"09/18/2024","35.245","35.825","35.825","34.670","73.96K","-0.85%"
"09/17/2024","35.547","34.100","35.750","33.805","78.03K","4.30%"
"09/16/2024","34.081","35.230","35.300","33.960","75.90K","-4.40%"
"09/13/2024","35.648","35.245","36.185","35.065","77.44K","1.30%"
"09/12/2024","35.191","35.850","35.885","34.830","75.49K","-2.63%"
"09/11/2024","36.142","35.310","36.340","34.670","106.45K","2.44%"
"09/10/2024","35.282","37.340","37.900","34.865","130.42K","-5.49%"
"09/09/2024","37.333","36.800","37.500","36.375","68.54K","2.34%"
"09/06/2024","36.479","36.400","37.630","36.300","78.43K","0.78%"
"09/05/2024","36.195","35.830","36.775","35.550","93.81K","1.11%"
"09/04/2024","35.798","36.900","37.060","35.590","98.22K","-3.75%"
"09/03/2024","37.193","38.480","38.535","36.920","86.08K","-3.60%"
"09/02/2024","38.580","39.500","39.960","38.465","69.88K","-3.12%"
"08/30/2024","39.823","39.170","40.325","38.750","80.08K","3.17%"
"08/29/2024","38.601","38.420","39.040","37.915","46.40K","0.21%"
"08/28/2024","38.520","38.555","39.580","38.300","81.00K","-0.44%"
"08/27/2024","38.689","37.995","39.045","37.285","81.75K","2.74%"
"08/26/2024","37.656","36.845","37.920","36.135","31.85K","2.15%"
"08/23/2024","36.863","36.995","37.400","36.095","69.00K","0.75%"
"08/22/2024","36.587","37.015","37.655","36.170","67.69K","-1.14%"
"08/21/2024","37.010","38.010","38.530","36.830","67.28K","-2.49%"
"08/20/2024","37.957","39.495","40.125","37.575","94.13K","-4.74%"
"08/19/2024","39.845","39.400","40.450","39.060","65.47K","0.51%"
"08/16/2024","39.644","39.575","40.095","39.120","62.84K","0.11%"
"08/15/2024","39.601","38.830","39.930","38.505","62.38K","1.63%"
"08/14/2024","38.967","39.205","40.295","38.715","76.43K","-1.30%"
"08/13/2024","39.480","39.550","40.430","38.700","78.95K","-0.45%"
"08/12/2024","39.658","39.830","42.900","39.220","94.01K","-1.83%"
"08/09/2024","40.396","40.385","40.750","39.420","66.51K","0.75%"
"08/08/2024","40.095","38.650","40.475","38.175","97.16K","4.28%"
"08/07/2024","38.451","36.940","38.785","35.860","93.13K","4.84%"
"08/06/2024","36.676","36.000","37.060","35.650","73.69K","3.32%"
"08/05/2024","35.498","36.895","36.900","34.745","76.77K","-3.14%"
"08/02/2024","36.649","36.900","37.150","36.065","71.05K","-0.87%"
"08/01/2024","36.969","35.895","37.075","35.755","65.99K","3.07%"
"07/31/2024","35.868","35.250","36.000","35.060","74.40K","4.39%"
"07/30/2024","34.361","33.900","34.540","33.285","55.98K","1.44%"
"07/29/2024","33.873","32.200","33.960","32.065","77.00K","4.30%"
"07/26/2024","32.475","32.045","32.900","31.895","61.30K","2.19%"
"07/25/2024","31.779","32.495","32.500","31.650","66.85K","-2.58%"
"07/24/2024","32.621","31.545","32.980","31.360","71.40K","3.16%"
"07/23/2024","31.622","31.705","31.885","31.220","56.37K","-0.68%"
"07/22/2024","31.839","31.705","31.975","31.100","66.06K","-1.03%"
"07/19/2024","32.170","32.600","32.775","31.685","66.64K","-1.54%"
"07/18/2024","32.674","31.745","32.785","31.605","67.93K","2.45%"
"07/17/2024","31.893","33.095","33.285","31.555","75.99K","-2.76%"
"07/16/2024","32.797","32.080","33.050","31.730","80.55K","4.55%"
